Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
20220114-2656-D697D0Fb3C39_Request,2022-01-14,Request,0.0,Verbal Conflict,,Women,,Women,Women,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Herat Province Prison,2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
20220114-5040-0B2Aca9Ad535_Protest_Demo,2022-01-14,Protest,-5.0,Material Conflict,Military | Diplomatic,Residents,,Resident,Residents,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Maimana,2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
20220116-6764-A706A1A62774_Assault,2022-01-16,Assault,-9.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Supporters Of The Taliban,Protesters,,Protester,Protesters,AFG,Kabul,2022-01-16,Russian,Ngec_Coder-Vers001-B1-Run-001
20220116-5508-8Fbb3F7243Fe_Protest_Demo,2022-01-16,Protest,-5.0,Material Conflict,,Afghan Women,Afghanistan,Women,Afghan Women,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Kabul,2022-01-16,Russian,Ngec_Coder-Vers001-B1-Run-001
20220116-5508-8Fbb3F7243Fe_Coerce,2022-01-16,Coerce,-7.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Protesters,,Protester,Protesters,AFG,Kabul,2022-01-16,Russian,Ngec_Coder-Vers001-B1-Run-001
20220116-6014-51Dd98A355Fb_Threaten,2022-01-16,Threaten,-3.5,Verbal Conflict,Human_Security | Diplomatic | Disasters,International Community,,International Community,International Community,Afghanistan,Afghanistan,,Afghanistan,AFG,Kabul,2022-01-16,English,Ngec_Coder-Vers001-B1-Run-001
20220116-5508-8Fbb3F7243Fe_Assault,2022-01-16,Assault,-9.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Protesters,,Protester,Protesters,AFG,Kabul,2022-01-16,Russian,Ngec_Coder-Vers001-B1-Run-001
20220116-6764-A706A1A62774_Coerce_Censor,2022-01-16,Coerce,-6.5,Material Conflict,,Taliban,Afghanistan,Islamist Group,Supporters Of The Taliban,Protesters,,Protester,Protesters,AFG,Kabul,2022-01-16,Russian,Ngec_Coder-Vers001-B1-Run-001
20220117-5812-98Beb1B02Ea6_Sanction,2022-01-17,Sanction,-6.0,Material Conflict,Human_Rights | Diplomatic,United States,United States,,United States,Sirajuddin Haqqani,Afghanistan,Interior Minister,Sirajuddin Haqqani,AFG,Afghanistan,2022-01-17,Russian,Ngec_Coder-Vers001-B1-Run-001
20220121-9471-0C607B59A342_Aid,2022-01-21,Aid,10.0,Material Cooperation,Diplomatic,European Union,European Union,,European Union,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,AFG,Kabul,2022-01-21,Russian,Ngec_Coder-Vers001-B1-Run-001
20220121-9471-0C607B59A342_Retreat_Access,2022-01-21,Retreat,6.5,Material Cooperation,Diplomatic,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,European Union,European Union,,European Union,AFG,Kabul,2022-01-21,Russian,Ngec_Coder-Vers001-B1-Run-001
20220121-9471-0C607B59A342_Sanction,2022-01-21,Sanction,-6.0,Material Conflict,Diplomatic,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,European Union,European Union,,European Union,AFG,Kabul,2022-01-21,Russian,Ngec_Coder-Vers001-B1-Run-001
20220122-3128-8A088B93E16C_Threaten,2022-01-22,Threaten,-3.5,Verbal Conflict,Human_Security,Taliban,Afghanistan,Islamist Group,Taliban Authorities,Protesters,,Protester,Protesters,AFG,Afghanistan,2022-01-22,English,Ngec_Coder-Vers001-B1-Run-001
20220122-3128-8A088B93E16C_Coerce_Arrest,2022-01-22,Coerce,-7.0,Material Conflict,Human_Security,Taliban,Afghanistan,Islamist Group,Taliban Authorities,Protesters,,Protester,Protesters,AFG,Afghanistan,2022-01-22,English,Ngec_Coder-Vers001-B1-Run-001
20220122-1004-957Bb0152Adb_Request,2022-01-22,Request,0.0,Verbal Conflict,Diplomatic,Taliban,Afghanistan,Islamist Group,Taliban,European Union,European Union,,European Union,AFG,Kabul,2022-01-22,English,Ngec_Coder-Vers001-B1-Run-001
20220123-6379-2Eb73A9B963C_Accuse,2022-01-23,Accuse,-3.0,Verbal Conflict,Military | Religion_Ethnicity,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Northern Afghanistan,2022-01-23,English,Ngec_Coder-Vers001-B1-Run-001
20220124-5911-11A64397D5Df_Protest_Demo,2022-01-24,Protest,-5.0,Material Conflict,Diplomatic,Afghan Women,Afghanistan,Women,Afghan Women,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Kabul,2022-01-24,English,Ngec_Coder-Vers001-B1-Run-001
20220125-1472-50Fa843A9Abf_Assault,2022-01-25,Assault,-9.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,The Taliban,National Resistance Front,Honduras,Resistance Army,National Resistance Front,AFG,Afghanistan,2022-01-25,Russian,Ngec_Coder-Vers001-B1-Run-001
20220126-6169-3Ed7Fed74748_Sanction,2022-01-26,Sanction,-6.0,Material Conflict,Military,Boris Johnson,United Kingdom,Prime Minister,British Prime Minister Boris Johnson,Boris Johnson,United Kingdom,Prime Minister,Boris Johnson,AFG,Kabul,2022-01-26,English,Ngec_Coder-Vers001-B1-Run-001
20220126-2849-3F09A651Eb60_Accuse,2022-01-26,Accuse,-3.0,Verbal Conflict,Human_Rights | Lgbt,Human Rights Watch,,Non-Governmental Organization,Human Rights Watch,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Afghanistan,2022-01-26,English,Ngec_Coder-Vers001-B1-Run-001
20220126-6676-B91E7D20C2B5_Request,2022-01-26,Request,0.0,Verbal Conflict,Diplomatic,Iran,Iran,,Iran,Taliban,Afghanistan,Islamist Group,Afghanistan 'S Taliban Administration,AFG,Afghanistan,2022-01-26,English,Ngec_Coder-Vers001-B1-Run-001
20220126-1523-231Dcc4006Cd_Sanction,2022-01-26,Sanction,-6.0,Material Conflict,Military,Boris Johnson,United Kingdom,Prime Minister,British Prime Minister Boris Johnson,Boris Johnson,United Kingdom,Prime Minister,Boris Johnson,AFG,Kabul,2022-01-26,English,Ngec_Coder-Vers001-B1-Run-001
20220126-8270-Fe16Be9B8Fa8_Sanction,2022-01-26,Sanction,-6.0,Material Conflict,Military,Boris Johnson,United Kingdom,Prime Minister,British Prime Minister Boris Johnson,Boris Johnson,United Kingdom,Prime Minister,Boris Johnson,AFG,Kabul,2022-01-26,English,Ngec_Coder-Vers001-B1-Run-001
20220126-8312-C96226Db969B_Protest_Demo,2022-01-26,Protest,-5.0,Material Conflict,Diplomatic,Afghan Women,Afghanistan,Women,Afghan Women,Us,United States,,Us,AFG,Kabul,2022-01-26,English,Ngec_Coder-Vers001-B1-Run-001
20220127-0785-3E350Ed50E37_Sanction,2022-01-27,Sanction,-6.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Cabinet Of The Ruling Taliban Government,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,AFG,Afghanistan,2022-01-27,Russian,Ngec_Coder-Vers001-B1-Run-001
20220127-0127-Ceb689476780_Threaten,2022-01-27,Threaten,-3.5,Verbal Conflict,,Sirajuddin Haqqani,Afghanistan,Interior Minister,Sirajuddin Haqqani,United States,United States,,United States,AFG,Afghanistan,2022-01-27,Russian,Ngec_Coder-Vers001-B1-Run-001
20220127-0087-D7E9D3Cb4Afb_Protest,2022-01-27,Protest,-5.0,Material Conflict,Religion_Ethnicity,Women,,Women,Women,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,AFG,Kabul,2022-01-27,English,Ngec_Coder-Vers001-B1-Run-001
20220130-9395-0Da4E44D0792_Assault,2022-01-30,Assault,-9.0,Material Conflict,Military | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Mark Frerichs,United States,Civil Servant,Mark Frerichs,AFG,Afghanistan,2022-01-30,English,Ngec_Coder-Vers001-B1-Run-001
20220130-7792-E4D3Aff7B515_Concede,2022-01-30,Concede,4.5,Verbal Cooperation,,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Afghanistan,2022-01-30,English,Ngec_Coder-Vers001-B1-Run-001
20220130-0254-289Cdd5100Db_Assault,2022-01-30,Assault,-9.0,Material Conflict,Military | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Mark Frerichs,United States,Civil Servant,Mark Frerichs,AFG,Afghanistan,2022-01-30,English,Ngec_Coder-Vers001-B1-Run-001
20220130-9884-A9Cce3D04Dec_Accuse,2022-01-30,Accuse,-3.0,Verbal Conflict,Military | Religion_Ethnicity | Terrorism,António Guterres,United Nations,Secretary Of State,Antonio Guterres,Afghan Government,Afghanistan,Government,Afghan Government,AFG,Afghanistan,2022-01-30,English,Ngec_Coder-Vers001-B1-Run-001
20220130-9884-A9Cce3D04Dec_Assault,2022-01-30,Assault,-9.0,Material Conflict,Military | Religion_Ethnicity | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,The United Nations,United Nations,,The United Nations,AFG,Afghanistan,2022-01-30,English,Ngec_Coder-Vers001-B1-Run-001
20220131-3216-0E3536B58067_Coerce,2022-01-31,Coerce,-7.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Girls,,Girl,Girls,AFG,Afghanistan,2022-01-31,English,Ngec_Coder-Vers001-B1-Run-001
20220201-5918-F469E439425C_Threaten,2022-02-01,Threaten,-3.5,Verbal Conflict,,Pakistan,Pakistan,,Pakistan,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,AFG,Afghanistan,2022-02-01,English,Ngec_Coder-Vers001-B1-Run-001
20220201-0033-Bdb7702F92E4_Accuse,2022-02-01,Accuse,-3.0,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,Afghan Taliban,Ashraf Ghani,Afghanistan,"Previously Held A Gov Role, So Coded As Eli",Ashraf Ghani Government,AFG,Afghanistan,2022-02-01,English,Ngec_Coder-Vers001-B1-Run-001
20220202-6055-44E4F9901D0E_Accuse,2022-02-02,Accuse,-3.0,Verbal Conflict,,Afghan Women,Afghanistan,Women,Afghan Women,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Afghanistan,2022-02-02,English,Ngec_Coder-Vers001-B1-Run-001
20220202-7602-0796F70E1073_Accuse,2022-02-02,Accuse,-3.0,Verbal Conflict,Military,Media Outlets,,Media,Media Outlets,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Uruzgan Province,2022-02-02,English,Ngec_Coder-Vers001-B1-Run-001
20220202-8972-0796F70E1073_Accuse,2022-02-02,Accuse,-3.0,Verbal Conflict,Military,Media Outlets,,Media,Media Outlets,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Uruzgan Province,2022-02-02,English,Ngec_Coder-Vers001-B1-Run-001
20220203-4572-A0684902627B_Assault,2022-02-03,Assault,-9.0,Material Conflict,Military,Roberts - Smith,,,Roberts - Smith,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-03,English,Ngec_Coder-Vers001-B1-Run-001
20220205-6098-Cbd6292296A9_Accuse,2022-02-05,Accuse,-3.0,Verbal Conflict,Military,Mr Roberts - Smith,,,Mr Roberts - Smith,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Khaz Oruzgan Province,2022-02-05,English,Ngec_Coder-Vers001-B1-Run-001
20220205-6098-Cbd6292296A9_Assault,2022-02-05,Assault,-9.0,Material Conflict,Military,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,Afghan Man,Afghanistan,Man,Afghan Man,AFG,Khaz Oruzgan Province,2022-02-05,English,Ngec_Coder-Vers001-B1-Run-001
20220205-7613-Ae9A5Ee49C3E_Coerce,2022-02-05,Coerce,-7.0,Material Conflict,Military,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,Afghan Man,Afghanistan,Man,Afghan Man,AFG,Khaz Oruzgan Province,2022-02-05,English,Ngec_Coder-Vers001-B1-Run-001
20220205-7613-Ae9A5Ee49C3E_Assault,2022-02-05,Assault,-9.0,Material Conflict,Military,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,Afghan Man,Afghanistan,Man,Afghan Man,AFG,Khaz Oruzgan Province,2022-02-05,English,Ngec_Coder-Vers001-B1-Run-001
20220205-8965-Ea131C856629_Accuse,2022-02-05,Accuse,-3.0,Verbal Conflict,Military,Mr Roberts - Smith,,,Mr Roberts - Smith,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Khaz Oruzgan Province,2022-02-05,English,Ngec_Coder-Vers001-B1-Run-001
20220207-9634-611D38D82883_Accuse,2022-02-07,Accuse,-3.0,Verbal Conflict,Military,Sas Soldier,,Soldier,Sas Soldier,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-07,English,Ngec_Coder-Vers001-B1-Run-001
20220207-7081-5Bbc325C8378_Accuse,2022-02-07,Accuse,-3.0,Verbal Conflict,Intelligence | Religion_Ethnicity | Terrorism,Taliban,Afghanistan,Islamist Group,The Taliban,Islamic State – Khorasan Province,,Islamic Front,Islamic State Group ( Is ) Militants,AFG,Nangarhar Province,2022-02-07,English,Ngec_Coder-Vers001-B1-Run-001
20220207-9002-729C2C1C2309_Accuse,2022-02-07,Accuse,-3.0,Verbal Conflict,Military,Sas Soldier,,Soldier,Sas Soldier,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-07,English,Ngec_Coder-Vers001-B1-Run-001
20220207-7081-5Bbc325C8378_Threaten,2022-02-07,Threaten,-3.5,Verbal Conflict,Intelligence | Religion_Ethnicity | Terrorism,Taliban,Afghanistan,Islamist Group,Taliban,Islamic State – Khorasan Province,,Islamic Front,Islamic State Group ( Is ) Militants,AFG,Nangarhar Province,2022-02-07,English,Ngec_Coder-Vers001-B1-Run-001
20220208-2329-357A54Ae6Eac_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,Military | Diplomatic,Foreign Minister,Pakistan,Cabinet Minister,Pakistani Foreign Ministry,Taliban Regime,,Communist Rebel,Taliban Regime,AFG,Kabul,2022-02-08,Arabic,Ngec_Coder-Vers001-B1-Run-001
20220208-9461-Ac24379E4Fd4_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,Military,Mr Roberts - Smith,,,Mr Roberts - Smith,Army,Australia,Military Force,Generals Of The Australian Army,AFG,Afghanistan,2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
20220208-9461-Ac24379E4Fd4_Assault,2022-02-08,Assault,-9.0,Material Conflict,Military,Australian Soldier,Australia,Soldier,Australian Soldier,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
20220208-0753-Ac24379E4Fd4_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,Military,Mr Roberts - Smith,,,Mr Roberts - Smith,Army,Australia,Military Force,Generals Of The Australian Army,AFG,Afghanistan,2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
20220208-0753-Ac24379E4Fd4_Assault,2022-02-08,Assault,-9.0,Material Conflict,Military,Army,Australia,Military Force,Generals Of The Australian Army,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
20220209-1318-1Bd55Fbd3C54_Accuse,2022-02-09,Accuse,-3.0,Verbal Conflict,Military,Nine Newspapers,,Newspaper,Nine Newspapers,Ben Roberts-Smith,Australia,Soldier,Ben ­Roberts - Smith,AFG,Afghanistan,2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
20220209-0324-A7E5177A37F7_Assault,2022-02-09,Assault,-9.0,Material Conflict,Religion_Ethnicity | Terrorism,Islamic State,,Salafi Jihadist,Islamic State Group,Taliban,Afghanistan,Islamist Group,Taliban Member,AFG,Nangarhar Province,2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
20220210-4073-A30385Af6370_Accuse,2022-02-10,Accuse,-3.0,Verbal Conflict,Diplomatic,Afghan Women,Afghanistan,Women,Afghan Women,Government Of The Islamic Emirate Of Afghanistan,Afghanistan,Government,Taliban Government,AFG,Kabul,2022-02-10,English,Ngec_Coder-Vers001-B1-Run-001
20220211-4783-B1197B5D5A0A_Accuse,2022-02-11,Accuse,-3.0,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Washington,,,Washington,AFG,Afghanistan,2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
20220211-8768-0444E88E3E66_Accuse,2022-02-11,Accuse,-3.0,Verbal Conflict,Military,Australian Soldier,Australia,Soldier,Australian Soldier,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
20220211-4783-B1197B5D5A0A_Coerce,2022-02-11,Coerce,-7.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Washington,,,Washington,AFG,Afghanistan,2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
20220211-8626-E1Acf5F5D1Ce_Retreat_Release,2022-02-11,Retreat,6.5,Material Cooperation,Migration,Taliban,Afghanistan,Islamist Group,Taliban Authorities,Journalists,,Journalist,Journalists,AFG,Kabul,2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
20220211-4468-8639Fc49A43D_Retreat_Release,2022-02-11,Retreat,6.5,Material Cooperation,Migration,Taliban,Afghanistan,Islamist Group,Taliban Authorities,Journalists,,Journalist,Journalists,AFG,Kabul,2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
20220213-4070-830969Ca6B37_Accuse,2022-02-13,Accuse,-3.0,Verbal Conflict,,Hamid Karzai,Afghanistan,"Previously Held A Gov Role, So Coded As Eli",Hamid Karzai,Taliban,Afghanistan,Islamist Group,Taliban,AFG,Kabul,2022-02-13,English,Ngec_Coder-Vers001-B1-Run-001
20220214-7318-Bfe31F461880_Protest_Demo,2022-02-14,Protest,-5.0,Material Conflict,,Afghan People,Afghanistan,Individuals,Afghan People,Us,United States,,Us,AFG,Kabul,2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
20220214-5675-4692990Bce19_Request,2022-02-14,Request,0.0,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Washington,,,Washington,AFG,Afghanistan,2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
20220215-0001-8E432E885007_Protest_Demo,2022-02-15,Protest,-5.0,Material Conflict,,Afghans,Afghanistan,,Afghans,U.S.,United States,,U.S.,AFG,Kabul,2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
20220215-0001-8E432E885007_Accuse,2022-02-15,Accuse,-3.0,Verbal Conflict,,Afghans,Afghanistan,,Afghans,U.S.,United States,,U.S.,AFG,Kabul,2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
20220215-8815-6A4C23Fe357C_Accuse,2022-02-15,Accuse,-3.0,Verbal Conflict,,Hamid Karzai,Afghanistan,"Previously Held A Gov Role, So Coded As Eli",Hamid Karzai,Osama Bin Laden,Saudi Arabia,Terrorist Leader,Osama Bin - Laden,AFG,Afghanistan,2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
20220215-8054-A0Acde4D1498_Threaten,2022-02-15,Threaten,-3.5,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Joe Biden,United States,President,Us President Joe Biden,AFG,Afghanistan,2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
20220215-8054-A0Acde4D1498_Accuse,2022-02-15,Accuse,-3.0,Verbal Conflict,,Taliban,Afghanistan,Islamist Group,Taliban,Joe Biden,United States,President,Us President Joe Biden,AFG,Afghanistan,2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
20220216-3305-E8Cd41522764_Request,2022-02-16,Request,0.0,Verbal Conflict,Military,Taliban,Afghanistan,Islamist Group,Taliban,National Resistance Front,Honduras,Resistance Army,National Resistance Front,AFG,Northern Afghanistan,2022-02-16,English,Ngec_Coder-Vers001-B1-Run-001
20220223-1801-2452C0621681_Accuse,2022-02-23,Accuse,-3.0,Verbal Conflict,Military,Former Sas Soldier,,Soldier,Former Sas Soldier,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-23,English,Ngec_Coder-Vers001-B1-Run-001
20220223-7048-2452C0621681_Accuse,2022-02-23,Accuse,-3.0,Verbal Conflict,Military,Former Sas Soldier,,Soldier,Former Sas Soldier,Ben Roberts-Smith,Australia,Soldier,Ben Roberts - Smith,AFG,Afghanistan,2022-02-23,English,Ngec_Coder-Vers001-B1-Run-001
20220224-5871-D5B5Eb532D43_Assault,2022-02-24,Assault,-9.0,Material Conflict,,Taliban,Afghanistan,Islamist Group,Taliban Security Personnel,Civilians,,Civilian,Civilians,AFG,Kabul,2022-02-24,English,Ngec_Coder-Vers001-B1-Run-001
20220224-6430-12E482502F40_Cooperate,2022-02-24,Cooperate,9.5,Material Cooperation,,Uzbekistan,Uzbekistan,,Uzbekistan,Taliban,Afghanistan,Islamist Group,Top Taliban Leaders,AFG,Kabul,2022-02-24,English,Ngec_Coder-Vers001-B1-Run-001
20220224-6785-019D77724818_Assault,2022-02-24,Assault,-9.0,Material Conflict,Military,Taliban,Afghanistan,Islamist Group,Taliban Security Personnel,Civilians,,Civilian,Civilians,AFG,Kabul,2022-02-24,English,Ngec_Coder-Vers001-B1-Run-001
20220228-4314-5Fe7E48129F1_Threaten,2022-02-28,Threaten,-3.5,Verbal Conflict,Diplomatic,Taliban,Afghanistan,Islamist Group,Taliban Administration,Afghans,Afghanistan,,Afghans,AFG,Kabul,2022-02-28,English,Ngec_Coder-Vers001-B1-Run-001
20220228-5384-8B418E66B023_Threaten,2022-02-28,Threaten,-3.5,Verbal Conflict,Human_Rights | Human_Security | Health,Taliban,Afghanistan,Islamist Group,Taliban,Afghans,Afghanistan,,Afghans,AFG,Afghanistan,2022-02-28,English,Ngec_Coder-Vers001-B1-Run-001
20220228-1576-884Ab98036D0_Threaten,2022-02-28,Threaten,-3.5,Verbal Conflict,Human_Rights | Human_Security | Health,Taliban,Afghanistan,Islamist Group,Taliban,Afghans,Afghanistan,,Afghans,AFG,Afghanistan,2022-02-28,English,Ngec_Coder-Vers001-B1-Run-001
